United Kingdom,Germany,France,Canada,United States,Belgium,Australia,Brazil,Argentina,Spain,India,Italy,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
11.541,0,13.168,4.648,17.583,0,3.486,7.823,3.408,4.725,2.246,7.901,1,1.031,2.206,5.605,3.494,1291,100.0,0,0,0,55.693,44.307,45.004,30.674,19.442,4.57,0.31,0,10.643,4.666,15.682,8.117,15.047,24.641,1.836,0.414,1.436,0.359,2.167,0.014,3.023,0.014,0.014,0.759,0.014,5.315,0.11,5.729
14.79,2.048,11.377,4.323,16.496,0,3.982,6.257,3.299,4.096,0,7.509,2,0.86,2.118,5.472,3.165,879,0,100.0,0,0,54.266,45.734,37.201,36.633,21.615,4.323,0.228,0,10.628,4.123,14.688,8.846,15.786,25.751,1.865,0.435,1.74,0.497,1.802,0.021,2.486,0.021,0.021,1.202,0.021,4.475,0.021,5.573
14.903,2.71,11.092,2.54,17.104,0,2.71,7.875,2.625,4.911,0,7.79,3,0.999,2.208,5.405,3.411,1181,0,0,0,100.0,52.921,47.079,40.22,29.636,24.64,5.08,0.423,0,10.202,4.702,14.576,7.78,15.576,24.356,1.5,0.625,2.015,0.531,2.828,0.016,2.671,0.016,0.016,0.875,0.016,6.265,0.094,5.343
12.454,0,18.494,2.045,8.457,2.695,2.974,11.989,2.788,4.368,0,9.108,4,0.79,1.835,5.309,3.333,1076,0,0,100.0,0,52.509,47.491,42.472,26.208,24.164,6.691,0.465,0,9.204,3.283,13.797,9.832,14.722,25.603,1.554,0.664,2.497,0.716,2.794,0.017,2.428,0.017,0.017,0.908,0.017,7.3,0.017,4.611
13.305,1.13,13.553,3.388,15.021,0.655,3.253,8.538,3.027,4.563,0.655,8.087,Mean,0.93,2.099,5.453,3.367,1127.594,29.162,19.855,24.305,26.677,53.896,46.104,41.563,30.495,22.408,5.173,0.362,0.0,10.173,4.232,14.731,8.589,15.256,25.019,1.684,0.535,1.909,0.519,2.423,0.017,2.678,0.017,0.017,0.914,0.017,5.884,0.065,5.323
