United Kingdom,Germany,France,Canada,United States,Belgium,Australia,Brazil,Argentina,Spain,India,Italy,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
11.541,0,13.168,4.648,17.583,0,3.486,7.823,3.408,4.725,2.246,7.901,1,1.031,2.206,5.605,3.494,1291,100.0,0,0,0,55.693,44.307,45.004,30.674,19.442,4.57,0.31,0,10.643,4.666,15.682,8.117,15.047,24.641,1.836,0.414,1.436,0.359,2.167,0.014,3.023,0.014,0.014,0.759,0.014,5.315,0.11,5.729
14.925,2.067,11.481,4.363,16.533,0,4.018,6.315,3.33,4.018,0,7.463,2,0.75,1.697,5.417,3.109,871,0,100.0,0,0,54.076,45.924,37.199,36.51,21.699,4.363,0.23,0,10.623,4.055,14.657,8.933,15.755,25.702,1.774,0.444,1.774,0.507,1.837,0.021,2.513,0.021,0.021,1.14,0.021,4.562,0.021,5.618
14.903,2.71,11.092,2.54,17.104,0,2.71,7.875,2.625,4.911,0,7.79,3,0.999,2.208,5.405,3.411,1181,0,0,0,100.0,52.921,47.079,40.22,29.636,24.64,5.08,0.423,0,10.202,4.702,14.576,7.78,15.576,24.356,1.5,0.625,2.015,0.531,2.828,0.016,2.671,0.016,0.016,0.875,0.016,6.265,0.094,5.343
12.362,0,18.358,2.03,8.487,2.675,2.952,11.9,2.768,4.428,0,9.133,4,0.879,2.158,5.355,3.376,1084,0,0.738,99.262,0,52.675,47.325,42.435,26.384,24.077,6.642,0.461,0,9.24,3.338,13.816,9.773,14.745,25.637,1.617,0.654,2.46,0.705,2.77,0.017,2.409,0.017,0.017,0.946,0.017,7.192,0.017,4.611
13.305,1.13,13.553,3.389,15.021,0.655,3.253,8.538,3.027,4.563,0.655,8.087,Mean,0.93,2.095,5.453,3.367,1128.335,29.162,19.855,24.305,26.677,53.896,46.104,41.563,30.495,22.408,5.173,0.361,0.0,10.178,4.23,14.728,8.593,15.253,25.018,1.681,0.535,1.908,0.519,2.426,0.017,2.678,0.017,0.017,0.911,0.017,5.88,0.065,5.33
