"id";"nom";"latitude";"longitude";"typeR";"dateLastScanReviews";"gadm36_gid";"gid";"name_1";"name_2";"name_3";"name_4";"name_5";"region";"date_review";"date_visit";"memberID";"age";"sexe";"country";"location"
"1853199";"How to become Parisian in one hour?";"48,871277";"2,344763";"A";"2019-04-04";"74163";"74163";"Île-de-France";"Paris";"Paris, 9e arrondissement";"Paris, 9e arrondissement";"Paris, 9e arrondissement";\N;"2016-03-29";"0000-00-00";"631FC6F4F295BAB874F6D18C082B3B8F";"";"";"France";"Paris, France"
"1853199";"How to become Parisian in one hour?";"48,871277";"2,344763";"A";"2019-04-04";"74163";"74163";"Île-de-France";"Paris";"Paris, 9e arrondissement";"Paris, 9e arrondissement";"Paris, 9e arrondissement";\N;"2016-01-27";"0000-00-00";"79769911D39C1CC574C176A2F998D7D6";"";"";"France";"Grenoble, France"
